,Title,Release Date,Color,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,Score,Total Reviews,Duration,Gross Revenue,Budget,Z_Score,Softmax_Score
496,Braveheart,25-02-1995,Color,Biography,English,USA,R,Mhairi Calvey,Mel Gibson,906.0,1976,0,17000,8.4,132.0,178.0,75600000,72000000,0.8831168831168831,0.001175293542770307
497,Casino,27-07-1995,Color,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000.0,24183,17000,11000,8.2,133.0,178.0,42438300,52000000,0.857142857142857,0.0009622489673600217
498,Casper,08-07-1995,Color,Comedy,English,USA,PG,Eric Idle,Brad Silberling,795.0,2638,52,0,6.0,26.0,100.0,100328194,50000000,0.5714285714285714,0.00010662022471438481
499,Clueless,18-11-1995,Color,Comedy,English,USA,PG-13,Donald Faison,Amy Heckerling,927.0,1724,143,0,6.8,88.0,97.0,56631572,12000000,0.6753246753246751,0.00023728767390692747
500,Congo,11-08-1995,Color,Action,English,USA,PG-13,Dylan Walsh,Frank Marshall,426.0,1761,155,0,5.0,55.0,109.0,81022333,50000000,0.4415584415584415,3.922338868550149e-05
501,Copycat,13-11-1995,Color,Crime,English,USA,R,William McNamara,Jon Amiel,10000.0,12338,36,0,6.6,57.0,123.0,32051917,20000000,0.6493506493506492,0.0001942747159539413
502,Crimson Tide,11-01-1995,Color,Action,English,USA,R,Denzel Washington,Tony Scott,18000.0,30132,12000,0,7.3,82.0,123.0,91400000,53000000,0.7402597402597401,0.0003912212352453071
503,Cutthroat Island,03-06-1995,Color,Action,English,USA,PG-13,Christopher Masterson,Renny Harlin,1000.0,3611,212,1000,5.6,61.0,124.0,11000000,98000000,0.5194805194805193,7.14696739388766e-05
504,Dead Man Walking,20-09-1995,Color,Crime,English,UK,R,Lois Smith,Tim Robbins,276.0,903,0,0,7.6,77.0,122.0,39025000,11000000,0.7792207792207791,0.0005280934301066412
505,Desperado,19-01-1995,Color,Action,English,USA,R,Quentin Tarantino,Robert Rodriguez,16000.0,33758,0,0,7.2,93.0,104.0,25625110,7000000,0.7272727272727271,0.00035399161238020254
506,Die Hard with a Vengeance,24-01-1995,Color,Action,English,USA,R,Bruce Willis,John McTiernan,13000.0,14274,323,0,7.6,148.0,128.0,100012500,90000000,0.7792207792207791,0.0005280934301066412
507,First Knight,09-01-1995,Color,Action,English,USA,PG-13,Julia Ormond,Jerry Zucker,919.0,1695,109,0,5.9,53.0,134.0,37600435,55000000,0.5584415584415584,9.647396884097779e-05
508,Four Rooms,18-08-1995,Color,Comedy,English,USA,R,Salma Hayek,Allison Anders,4000.0,7921,99,0,6.7,51.0,110.0,4301331,4000000,0.6623376623376622,0.00021470676618970307
509,Friday,18-07-1995,Black and White,Comedy,English,USA,R,Nia Long,F. Gary Gray,826.0,3455,473,8000,7.3,20.0,97.0,27900000,3500000,0.7402597402597401,0.0003912212352453071
510,Get Shorty,08-02-1995,Color,Comedy,English,USA,R,Delroy Lindo,Barry Sonnenfeld,848.0,3439,188,0,6.9,96.0,105.0,72077000,30250000,0.6883116883116883,0.00026224343641975407
511,GoldenEye,28-06-1995,Color,Action,English,UK,PG-13,Izabella Scorupco,Martin Campbell,394.0,1784,258,0,7.2,137.0,130.0,106635996,58000000,0.7272727272727271,0.00035399161238020254
512,Hackers,26-11-1995,Color,Comedy,English,USA,PG-13,Angelina Jolie Pitt,Iain Softley,11000.0,13821,34,12000,6.2,79.0,107.0,7564000,20000000,0.5974025974025973,0.00013022623654180673
513,Halloween: The Curse of Michael Myers,14-05-1995,Color,Horror,English,USA,R,Donald Pleasence,Joe Chappelle,742.0,1227,13,0,4.9,123.0,93.0,15126948,5000000,0.42857142857142855,3.549078974481005e-05
514,Home for the Holidays,30-07-1995,Color,Comedy,English,USA,PG-13,Robert Downey Jr.,Jodie Foster,21000.0,25263,0,0,6.6,45.0,103.0,17518220,20000000,0.6493506493506492,0.0001942747159539413
515,Jade,24-10-1995,Color,Crime,English,USA,R,Michael Biehn,William Friedkin,2000.0,5461,607,422,5.1,50.0,107.0,9795017,50000000,0.4545454545454544,4.334854848359364e-05
516,Jefferson in Paris,13-11-1995,Color,Biography,English,France,PG-13,Seth Gilliam,James Ivory,423.0,446,133,127,5.7,20.0,139.0,2474000,14000000,0.5324675324675323,7.89862051615955e-05
517,Kids,10-12-1995,Color,Drama,English,USA,Not Rated,Rosario Dawson,Larry Clark,3000.0,3310,184,0,7.0,71.0,91.0,7417210,1500000,0.7012987012987012,0.0002898238193873322
518,Kiss of Death,19-10-1995,Color,Action,English,USA,R,Nicolas Cage,Barbet Schroeder,12000.0,14008,58,555,5.9,40.0,101.0,14942422,40000000,0.5584415584415584,9.647396884097779e-05
519,Leaving Las Vegas,26-12-1995,Color,Drama,English,USA,R,Nicolas Cage,Mike Figgis,12000.0,14823,81,0,7.6,123.0,111.0,31968347,3600000,0.7792207792207791,0.0005280934301066412
520,Mallrats,01-04-1995,Color,Comedy,English,USA,R,Ethan Suplee,Kevin Smith,1000.0,3254,0,0,7.2,93.0,123.0,2122561,6000000,0.7272727272727271,0.00035399161238020254
521,Money Train,19-08-1995,Color,Action,English,USA,R,Vincent Pastore,Joseph Ruben,584.0,1132,29,617,5.6,40.0,105.0,35324232,68000000,0.5194805194805193,7.14696739388766e-05
522,Mortal Kombat,28-05-1995,Color,Action,English,USA,PG-13,Christopher Lambert,Paul W.S. Anderson,1000.0,3816,545,0,5.8,72.0,101.0,70360285,18000000,0.5454545454545453,8.729325687375192e-05
523,Mr. Holland's Opus,04-09-1995,Color,Drama,English,USA,PG,Alicia Witt,Stephen Herek,975.0,2223,65,0,7.3,42.0,143.0,82528097,6500000,0.7402597402597401,0.0003912212352453071
524,Nixon,02-07-1995,Black and White,Biography,English,USA,R,Anthony Hopkins,Oliver Stone,12000.0,21130,0,915,7.1,83.0,212.0,13560960,50000000,0.7142857142857142,0.00032030485655248854
525,Outbreak,22-12-1995,Color,Action,English,USA,R,Kevin Spacey,Wolfgang Petersen,18000.0,30383,249,0,6.6,64.0,127.0,67823573,50000000,0.6493506493506492,0.0001942747159539413
526,Pocahontas,03-11-1995,Color,Adventure,English,USA,G,Christian Bale,Mike Gabriel,23000.0,26754,12,0,6.6,92.0,84.0,141600000,55000000,0.6493506493506492,0.0001942747159539413
527,Richard III,04-06-1995,Color,Drama,English,UK,R,Robert Downey Jr.,Richard Loncraine,21000.0,23962,12,0,7.5,56.0,104.0,2600000,6000000,0.7662337662337662,0.0004778386957794468
528,Rob Roy,11-07-1995,Color,Adventure,English,USA,R,Liam Neeson,Michael Caton-Jones,14000.0,16125,105,0,6.9,44.0,139.0,31600000,28000000,0.6883116883116883,0.00026224343641975407
529,Rumble in the Bronx,10-11-1995,Color,Action,Cantonese,Hong Kong,R,Fran̤oise Yip,Stanley Tong,186.0,407,7,0,6.7,62.0,89.0,32333860,7500000,0.6623376623376622,0.00021470676618970307
530,Se7en,21-11-1995,Color,Crime,English,USA,R,Morgan Freeman,David Fincher,11000.0,22678,21000,39000,8.6,216.0,127.0,100125340,33000000,0.909090909090909,0.0014355067747874894
531,Sense and Sensibility,27-03-1995,Color,Drama,English,USA,PG,Alan Rickman,Ang Lee,25000.0,41059,0,0,7.7,69.0,136.0,42700000,16500000,0.792207792207792,0.0005836335009806748
532,Showgirls,22-12-1995,Color,Drama,English,France,NC-17,Bobbie Phillips,Paul Verhoeven,16000.0,18913,719,0,4.6,181.0,131.0,20302961,45000000,0.3896103896103895,2.6292223709339124e-05
533,Species,10-07-1995,Color,Action,English,USA,R,Natasha Henstridge,Roger Donaldson,900.0,1715,79,0,5.8,97.0,108.0,60054449,35000000,0.5454545454545453,8.729325687375192e-05
534,Tales from the Crypt: Demon Knight,08-07-1995,Color,Action,English,USA,R,CCH Pounder,Ernest R. Dickerson,1000.0,3931,226,0,6.7,66.0,92.0,21088568,13000000,0.6623376623376622,0.00021470676618970307
535,Tales from the Hood,23-11-1995,Color,Comedy,English,USA,R,Corbin Bernsen,Rusty Cundieff,1000.0,3221,38,985,6.1,25.0,98.0,11797927,6000000,0.5844155844155844,0.00011783357163302848
536,Tank Girl,14-07-1995,Color,Action,English,USA,R,Naomi Watts,Rachel Talalay,6000.0,9662,54,0,5.2,60.0,104.0,4064333,25000000,0.46753246753246747,4.7907555124859926e-05
537,The American President,30-12-1995,Color,Comedy,English,USA,PG-13,Shawna Waldron,Rob Reiner,524.0,2668,0,0,6.8,75.0,114.0,65000000,62000000,0.6753246753246751,0.00023728767390692747
538,The Bridges of Madison County,25-12-1995,Color,Drama,English,USA,PG-13,Clint Eastwood,Clint Eastwood,16000.0,27237,16000,0,7.5,69.0,135.0,70960517,35000000,0.7662337662337662,0.0004778386957794468
539,The Brothers McMullen,14-07-1995,Color,Comedy,English,USA,R,Shari Albert,Edward Burns,138.0,388,0,265,6.6,36.0,98.0,10246600,25000,0.6493506493506492,0.0001942747159539413
540,The Incredibly True Adventure of Two Girls in Love,30-11-1995,Color,Comedy,English,USA,R,Nicole Ari Parker,Maria Maggenti,360.0,656,4,423,6.5,23.0,94.0,1977544,250000,0.6363636363636364,0.00017578703237343372
541,The Indian in the Cupboard,18-12-1995,Color,Drama,English,USA,PG,Steve Coogan,Frank Oz,1000.0,2965,0,0,5.9,25.0,96.0,35617599,45000000,0.5584415584415584,9.647396884097779e-05
542,The Net,16-07-1995,Color,Action,English,USA,PG-13,Ken Howard,Irwin Winkler,649.0,1725,34,0,5.8,53.0,114.0,50728000,22000000,0.5454545454545453,8.729325687375192e-05
543,The Perez Family,10-01-1995,Color,Comedy,English,USA,R,Anjelica Huston,Mira Nair,1000.0,3072,300,174,6.2,15.0,113.0,2832826,11000000,0.5974025974025973,0.00013022623654180673
544,The Prophecy,23-01-1995,Color,Action,English,USA,R,Viggo Mortensen,Gregory Widen,10000.0,13433,10,0,6.6,56.0,98.0,16115878,8000000,0.6493506493506492,0.0001942747159539413
545,The Quick and the Dead,11-04-1995,Black and White,Action,English,Japan,R,Leonardo DiCaprio,Sam Raimi,29000.0,29743,0,0,6.4,63.0,107.0,18636537,32000000,0.6233766233766234,0.00015905868449698146
546,The Scarlet Letter,17-03-1995,Color,Drama,English,USA,R,Gary Oldman,Roland Joff̩,10000.0,15820,596,943,5.1,34.0,135.0,10400000,50000000,0.4545454545454544,4.334854848359364e-05
547,The Usual Suspects,18-06-1995,Color,Crime,English,USA,R,Kevin Spacey,Bryan Singer,18000.0,20821,0,28000,8.6,162.0,106.0,23272306,6000000,0.909090909090909,0.0014355067747874894
548,Things to Do in Denver When You're Dead,24-05-1995,Color,Crime,English,USA,R,Steve Buscemi,Gary Fleder,12000.0,14889,39,0,6.8,52.0,115.0,529766,7000000,0.6753246753246751,0.00023728767390692747
549,To Die For,03-07-1995,Color,Comedy,English,USA,R,Kurtwood Smith,Gus Van Sant,1000.0,3598,835,1000,6.8,59.0,106.0,21200000,20000000,0.6753246753246751,0.00023728767390692747
550,Toy Story,09-05-1995,Color,Adventure,English,USA,G,Tom Hanks,John Lasseter,15000.0,19046,487,0,8.3,166.0,74.0,191796233,30000000,0.8701298701298702,0.0010634495746746208
551,Under Siege 2: Dark Territory,15-02-1995,Color,Action,English,USA,R,Peter Greene,Geoff Murphy,789.0,2318,14,1000,5.4,47.0,92.0,50024083,60000000,0.49350649350649345,5.85144199662143e-05
552,Vampire in Brooklyn,07-08-1995,Color,Comedy,English,USA,R,John Witherspoon,Wes Craven,723.0,2348,0,1000,4.5,34.0,100.0,19900000,20000000,0.3766233766233766,2.3790187815582257e-05
553,Virtuosity,09-09-1995,Color,Action,English,USA,R,Denzel Washington,Brett Leonard,18000.0,20772,32,0,5.5,44.0,106.0,24048000,30000000,0.5064935064935064,6.466843523472504e-05
554,Waterworld,07-10-1995,Color,Action,English,USA,PG-13,Jeanne Tripplehorn,Kevin Reynolds,711.0,1004,58,0,6.1,91.0,176.0,88246220,175000000,0.5844155844155844,0.00011783357163302848
555,Welcome to the Dollhouse,10-01-1995,Color,Comedy,English,USA,R,Heather Matarazzo,Todd Solondz,529.0,1502,377,0,7.5,74.0,88.0,4771000,800000,0.7662337662337662,0.0004778386957794468
556,A Thin Line Between Love and Hate,24-06-1996,Color,Comedy,English,USA,R,Faizon Love,Martin Lawrence,585.0,3023,0,559,5.6,11.0,108.0,34746109,8000000,0.5194805194805193,7.14696739388766e-05
557,A Time to Kill,28-11-1996,Color,Crime,English,USA,R,Kevin Spacey,Joel Schumacher,18000.0,31349,541,0,7.4,71.0,149.0,108706165,40000000,0.7532467532467533,0.0004323663317267452
558,Albino Alligator,29-12-1996,Color,Crime,English,USA,R,Viggo Mortensen,Kevin Spacey,10000.0,13718,18000,225,6.1,37.0,97.0,326308,5000000,0.5844155844155844,0.00011783357163302848
559,Basquiat,21-11-1996,Color,Biography,English,USA,R,Gary Oldman,Julian Schnabel,10000.0,11459,232,0,6.9,42.0,108.0,2961991,3300000,0.6883116883116883,0.00026224343641975407
560,Beavis and Butt-Head Do America,14-04-1996,Color,Adventure,English,USA,PG-13,Bruce Willis,Mike Judge,13000.0,17035,406,0,6.8,63.0,81.0,63071133,12000000,0.6753246753246751,0.00023728767390692747
561,Blood and Wine,30-11-1996,Color,Crime,English,USA,R,Harold Perrineau,Bob Rafelson,1000.0,2228,30,145,6.1,42.0,101.0,1075288,22000000,0.5844155844155844,0.00011783357163302848
562,Bogus,06-06-1996,Color,Comedy,English,USA,PG,Haley Joel Osment,Norman Jewison,3000.0,3864,278,350,5.3,15.0,110.0,4357000,30000000,0.4805194805194804,5.2946036680101127e-05
563,Bottle Rocket,28-12-1996,Color,Comedy,English,USA,R,Andrew Wilson,Wes Anderson,387.0,648,0,0,7.1,83.0,91.0,1040879,7000000,0.7142857142857142,0.00032030485655248854
564,Bound,14-11-1996,Color,Crime,English,USA,R,Christopher Meloni,Lana Wachowski,3000.0,3668,0,2000,7.4,120.0,109.0,3798532,4500000,0.7532467532467533,0.0004323663317267452
565,Broken Arrow,14-03-1996,Color,Action,English,USA,R,Delroy Lindo,John Woo,848.0,2913,610,0,6.0,72.0,108.0,70450000,50000000,0.5714285714285714,0.00010662022471438481
566,Chain Reaction,23-02-1996,Color,Action,English,USA,PG-13,Keanu Reeves,Andrew Davis,18000.0,31014,99,1000,5.6,47.0,107.0,20550712,50000000,0.5194805194805193,7.14696739388766e-05
567,City Hall,03-03-1996,Color,Drama,English,USA,R,Al Pacino,Harold Becker,14000.0,17877,17,309,6.2,50.0,111.0,20300000,40000000,0.5974025974025973,0.00013022623654180673
568,Courage Under Fire,04-06-1996,Color,Action,English,USA,R,Denzel Washington,Edward Zwick,18000.0,33233,380,975,6.6,65.0,116.0,58918501,46000000,0.6493506493506492,0.0001942747159539413
569,Daylight,15-04-1996,Color,Action,English,USA,PG-13,Sylvester Stallone,Rob Cohen,13000.0,25126,357,0,5.8,61.0,114.0,32885565,80000000,0.5454545454545453,8.729325687375192e-05
570,DragonHeart,01-01-1996,Color,Action,English,USA,PG-13,Dennis Quaid,Rob Cohen,2000.0,2710,357,0,6.4,60.0,103.0,51317350,57000000,0.6233766233766234,0.00015905868449698146
571,Eraser,17-05-1996,Color,Action,English,USA,R,Vanessa Williams,Chuck Russell,1000.0,3454,55,0,6.1,81.0,115.0,101228120,100000000,0.5844155844155844,0.00011783357163302848
572,Escape from L.A.,13-02-1996,Color,Action,English,USA,R,Steve Buscemi,John Carpenter,12000.0,15935,0,0,5.7,104.0,101.0,25407250,50000000,0.5324675324675323,7.89862051615955e-05
573,Everyone Says I Love You,10-09-1996,Color,Comedy,English,USA,R,Natasha Lyonne,Woody Allen,1000.0,1614,11000,0,6.8,69.0,101.0,9714482,20000000,0.6753246753246751,0.00023728767390692747
574,Evita,17-06-1996,Color,Biography,English,USA,PG,Andrea Corr,Alan Parker,57.0,164,317,0,6.3,76.0,135.0,49994804,55000000,0.6103896103896103,0.00014392224939644498
575,Executive Decision,29-03-1996,Color,Action,English,USA,R,Oliver Platt,Stuart Baird,1000.0,2916,53,0,6.4,60.0,133.0,68750000,55000000,0.6233766233766234,0.00015905868449698146
576,Extreme Measures,04-03-1996,Color,Crime,English,USA,R,J.K. Simmons,Michael Apted,24000.0,24547,150,352,6.1,47.0,118.0,17305211,38000000,0.5844155844155844,0.00011783357163302848
577,Eye for an Eye,16-04-1996,Color,Crime,English,USA,R,Joe Mantegna,John Schlesinger,1000.0,3174,154,613,6.1,31.0,101.0,53146000,20000000,0.5844155844155844,0.00011783357163302848
578,Faithful,19-02-1996,Color,Comedy,English,USA,R,Chazz Palminteri,Paul Mazursky,979.0,1679,150,69,5.9,21.0,91.0,2104000,13000000,0.5584415584415584,9.647396884097779e-05
579,Fled,09-03-1996,Color,Action,English,USA,R,Salma Hayek,Kevin Hooks,4000.0,6152,114,204,5.3,36.0,105.0,17100000,25000000,0.4805194805194804,5.2946036680101127e-05
580,Flipper,09-02-1996,Color,Adventure,English,USA,PG,Paul Hogan,Alan Shapiro,442.0,616,0,504,5.2,23.0,95.0,20047715,25530000,0.46753246753246747,4.7907555124859926e-05
581,Flirting with Disaster,12-09-1996,Color,Comedy,English,USA,R,Lily Tomlin,David O. Russell,718.0,2240,737,824,6.8,50.0,92.0,14891000,7000000,0.6753246753246751,0.00023728767390692747
582,From Dusk Till Dawn,02-11-1996,Color,Crime,English,USA,R,Quentin Tarantino,Robert Rodriguez,16000.0,23296,0,12000,7.3,165.0,108.0,25753840,19000000,0.7402597402597401,0.0003912212352453071
583,Get on the Bus,13-08-1996,Color,Drama,English,USA,R,Bernie Mac,Spike Lee,1000.0,5963,0,352,6.8,28.0,120.0,5731103,2400000,0.6753246753246751,0.00023728767390692747
584,Ghosts of Mississippi,01-06-1996,Color,Drama,English,USA,PG-13,Alexa PenaVega,Rob Reiner,2000.0,3968,0,591,6.7,31.0,130.0,13052741,36000000,0.6623376623376622,0.00021470676618970307
585,Girl 6,14-06-1996,Color,Comedy,English,USA,R,Michael Imperioli,Spike Lee,873.0,4497,0,251,5.0,30.0,108.0,4903000,12000000,0.4415584415584415,3.922338868550149e-05
586,Hamlet,29-12-1996,Color,Drama,English,UK,PG-13,Julie Christie,Kenneth Branagh,597.0,1645,0,0,7.8,85.0,150.0,4414535,18000000,0.805194805194805,0.0006450147720985165
587,Happy Gilmore,26-08-1996,Color,Comedy,English,USA,PG-13,Adam Sandler,Dennis Dugan,11000.0,13162,221,0,7.0,77.0,92.0,38624000,12000000,0.7012987012987012,0.0002898238193873322
588,Harriet the Spy,18-03-1996,Color,Comedy,English,USA,PG,Gregory Smith,Bronwen Hughes,694.0,2486,15,833,5.9,25.0,100.0,26539321,13000000,0.5584415584415584,9.647396884097779e-05
589,Independence Day,25-05-1996,Color,Action,English,USA,PG-13,Will Smith,Roland Emmerich,10000.0,16785,776,16000,6.9,185.0,154.0,306124059,75000000,0.6883116883116883,0.00026224343641975407
590,Jerry Maguire,11-04-1996,Color,Comedy,English,USA,R,Tom Cruise,Cameron Crowe,10000.0,12182,488,0,7.3,109.0,139.0,153620822,50000000,0.7402597402597401,0.0003912212352453071
591,Jingle All the Way,18-05-1996,Color,Comedy,English,USA,PG,Jim Belushi,Brian Levant,854.0,4530,32,0,5.4,81.0,94.0,60573641,60000000,0.49350649350649345,5.85144199662143e-05
592,Kama Sutra: A Tale of Love,25-04-1996,Color,Crime,English,USA,R,Indira Varma,Mira Nair,729.0,1292,300,0,6.0,33.0,109.0,4109095,3000000,0.5714285714285714,0.00010662022471438481
593,Kansas City,13-06-1996,Color,Crime,English,France,R,Steve Buscemi,Robert Altman,12000.0,14579,500,228,6.3,31.0,116.0,1292527,19000000,0.6103896103896103,0.00014392224939644498
594,Kingpin,10-03-1996,Color,Comedy,English,USA,PG-13,Bill Murray,Bobby Farrelly,13000.0,16937,101,3000,6.9,62.0,117.0,24944213,27000000,0.6883116883116883,0.00026224343641975407
595,Lone Star,25-03-1996,Color,Drama,English,USA,R,Matthew McConaughey,John Sayles,11000.0,11400,407,0,7.6,68.0,135.0,13269963,5000000,0.7792207792207791,0.0005280934301066412
596,Love and Other Catastrophes,03-02-1996,Color,Comedy,English,Australia,R,Radha Mitchell,Emma-Kate Croghan,991.0,1661,0,46,6.4,21.0,76.0,212285,250000,0.6233766233766234,0.00015905868449698146
597,Mars Attacks!,13-08-1996,Color,Action,English,USA,PG-13,Natalie Portman,Tim Burton,20000.0,22590,13000,0,6.3,132.0,106.0,37754208,70000000,0.6103896103896103,0.00014392224939644498
598,Marvin's Room,09-09-1996,Color,Drama,English,USA,PG-13,Leonardo DiCaprio,Jerry Zaks,29000.0,63194,4,1000,6.7,45.0,98.0,12782508,23000000,0.6623376623376622,0.00021470676618970307
599,Mary Reilly,06-01-1996,Color,Drama,English,USA,R,Julia Roberts,Stephen Frears,8000.0,8349,350,616,5.8,46.0,108.0,5600000,47000000,0.5454545454545453,8.729325687375192e-05
600,Maximum Risk,10-05-1996,Color,Action,English,USA,R,Natasha Henstridge,Ringo Lam,900.0,1634,17,503,5.4,50.0,101.0,14095303,25000000,0.49350649350649345,5.85144199662143e-05
601,Michael Collins,23-05-1996,Black and White,Biography,English,UK,R,Alan Rickman,Neil Jordan,25000.0,48482,277,0,7.1,44.0,133.0,11030963,28000000,0.7142857142857142,0.00032030485655248854
602,Mission: Impossible,10-10-1996,Color,Action,English,USA,PG-13,Tom Cruise,Brian De Palma,10000.0,12760,0,0,7.1,154.0,110.0,180965237,80000000,0.7142857142857142,0.00032030485655248854
603,Mrs. Winterbourne,20-09-1996,Color,Comedy,English,USA,PG-13,Brendan Fraser,Richard Benjamin,3000.0,5023,121,491,6.2,20.0,105.0,10070000,25000000,0.5974025974025973,0.00013022623654180673
604,Multiplicity,18-09-1996,Color,Comedy,English,USA,PG-13,John de Lancie,Harold Ramis,905.0,2348,11000,0,6.0,43.0,117.0,20101861,45000000,0.5714285714285714,0.00010662022471438481
605,My Fellow Americans,15-09-1996,Color,Adventure,English,USA,PG-13,Wilford Brimley,Peter Segal,957.0,4629,88,758,6.5,27.0,101.0,22294341,21500000,0.6363636363636364,0.00017578703237343372
606,Phenomenon,16-11-1996,Color,Drama,English,USA,PG,Robert Duvall,Jon Turteltaub,3000.0,5975,226,0,6.4,53.0,123.0,104632573,32000000,0.6233766233766234,0.00015905868449698146
607,Ransom,08-03-1996,Color,Crime,English,USA,R,Lili Taylor,Ron Howard,960.0,3667,2000,1000,6.6,79.0,139.0,136448821,80000000,0.6493506493506492,0.0001942747159539413
608,Romeo + Juliet,26-10-1996,Color,Drama,English,USA,PG-13,Leonardo DiCaprio,Baz Luhrmann,29000.0,33791,1000,10000,6.8,106.0,120.0,46338728,14500000,0.6753246753246751,0.00023728767390692747
609,Scream,27-08-1996,Color,Horror,English,USA,R,David Arquette,Wes Craven,611.0,1212,0,11000,7.2,242.0,103.0,103001286,15000000,0.7272727272727271,0.00035399161238020254
610,Set It Off,18-06-1996,Color,Action,English,USA,R,Vivica A. Fox,F. Gary Gray,890.0,3661,473,0,6.8,29.0,123.0,36049108,9000000,0.6753246753246751,0.00023728767390692747
611,Sgt. Bilko,08-10-1996,Color,Comedy,English,USA,PG,Austin Pendleton,Jonathan Lynn,592.0,2176,36,478,5.7,23.0,93.0,30400000,39000000,0.5324675324675323,7.89862051615955e-05
612,She's the One,19-12-1996,Color,Comedy,English,USA,R,John Mahoney,Edward Burns,385.0,995,0,453,6.1,43.0,96.0,9449219,3500000,0.5844155844155844,0.00011783357163302848
613,Shine,07-08-1996,Color,Biography,English,Australia,PG-13,Noah Taylor,Scott Hicks,509.0,888,96,0,7.7,71.0,105.0,35811509,5500000,0.792207792207792,0.0005836335009806748
614,Sleepers,20-09-1996,Black and White,Crime,English,USA,R,Robert De Niro,Barry Levinson,22000.0,37076,272,0,7.5,73.0,147.0,53300852,44000000,0.7662337662337662,0.0004778386957794468
615,Sling Blade,22-09-1996,Color,Drama,English,USA,R,Robert Duvall,Billy Bob Thornton,3000.0,3967,0,0,8.0,104.0,148.0,24475416,890000,0.8311688311688311,0.0007878228216951816
616,Space Jam,07-08-1996,Color,Adventure,English,USA,PG,Bill Murray,Joe Pytka,13000.0,15001,30,0,6.3,46.0,88.0,90443603,80000000,0.6103896103896103,0.00014392224939644498
617,Spy Hard,03-10-1996,Color,Action,English,USA,PG-13,Hulk Hogan,Rick Friedberg,844.0,2653,8,588,5.3,27.0,81.0,26906039,18000000,0.4805194805194804,5.2946036680101127e-05
618,Star Trek: First Contact,01-02-1996,Color,Action,English,USA,PG-13,LeVar Burton,Jonathan Frakes,1000.0,6315,906,3000,7.6,143.0,111.0,92001027,45000000,0.7792207792207791,0.0005280934301066412
619,Striptease,07-05-1996,Color,Comedy,English,USA,R,Demi Moore,Andrew Bergman,2000.0,3016,31,877,4.3,51.0,117.0,32800000,40000000,0.35064935064935054,1.947775838611829e-05
620,Swingers,03-05-1996,Color,Comedy,English,USA,R,Jon Favreau,Doug Liman,4000.0,4230,218,0,7.4,77.0,96.0,4505922,200000,0.7532467532467533,0.0004323663317267452
621,That Thing You Do!,03-10-1996,Color,Comedy,English,USA,PG,Tom Hanks,Tom Hanks,15000.0,28713,15000,0,6.9,75.0,149.0,25809813,26000000,0.6883116883116883,0.00026224343641975407
622,The Adventures of Pinocchio,16-04-1996,Color,Adventure,Italian,UK,G,Martin Landau,Steve Barron,940.0,2465,48,246,5.3,19.0,90.0,15091542,25000000,0.4805194805194804,5.2946036680101127e-05
623,The Cable Guy,28-09-1996,Color,Comedy,English,USA,PG-13,Matthew Broderick,Ben Stiller,2000.0,3718,0,0,6.0,72.0,96.0,60154431,47000000,0.5714285714285714,0.00010662022471438481
624,The Craft,06-03-1996,Color,Drama,English,USA,R,Christine Taylor,Andrew Fleming,838.0,1812,26,6000,6.2,93.0,101.0,24881000,15000000,0.5974025974025973,0.00013022623654180673
625,The English Patient,01-02-1996,Color,Drama,English,USA,R,Colin Firth,Anthony Minghella,14000.0,15912,333,0,7.4,116.0,162.0,78651430,27000000,0.7532467532467533,0.0004323663317267452
626,The Fan,28-02-1996,Color,Action,English,USA,R,Robert De Niro,Tony Scott,22000.0,24618,12000,0,5.8,50.0,116.0,18573791,55000000,0.5454545454545453,8.729325687375192e-05
627,The First Wives Club,23-11-1996,Color,Comedy,English,USA,PG,Stockard Channing,Hugh Wilson,944.0,3143,37,0,6.2,50.0,103.0,105444419,26000000,0.5974025974025973,0.00013022623654180673
628,The Funeral,26-11-1996,Color,Crime,English,USA,R,Isabella Rossellini,Abel Ferrara,812.0,3337,220,344,6.6,48.0,99.0,1227324,12500000,0.6493506493506492,0.0001942747159539413
629,The Ghost and the Darkness,16-06-1996,Color,Adventure,English,USA,R,Tom Wilkinson,Stephen Hopkins,1000.0,1752,81,0,6.8,62.0,110.0,38553833,55000000,0.6753246753246751,0.00023728767390692747
630,The Glimmer Man,19-08-1996,Color,Action,English,USA,R,Alexa PenaVega,John Gray,2000.0,3855,29,451,5.3,39.0,91.0,20400913,45000000,0.4805194805194804,5.2946036680101127e-05
631,The Hunchback of Notre Dame,23-02-1996,Color,Animation,English,USA,G,Demi Moore,Gary Trousdale,2000.0,4842,21,0,6.9,80.0,91.0,100117603,100000000,0.6883116883116883,0.00026224343641975407
632,The Island of Dr. Moreau,15-09-1996,Color,Horror,English,USA,PG-13,Marlon Brando,John Frankenheimer,10000.0,10469,287,0,4.4,70.0,99.0,27663982,40000000,0.36363636363636365,2.1526252117642003e-05
633,The Juror,28-09-1996,Color,Drama,English,USA,R,Joseph Gordon-Levitt,Brian Gibson,23000.0,26907,13,353,5.6,28.0,118.0,44834712,44000000,0.5194805194805193,7.14696739388766e-05
